acousticness,danceability,duration_min,energy,instrumentalness,liveness,loudness,mode,tempo,valence,target,song_title,artist
0.341,0.411,3.325,0.684,1.42e-06,0.198,-6.889,0,110.016,0.598,1,Lose My Mind,A-Trak
0.018,0.646,3.139,0.837,0.0403,0.316,-6.615,1,100.04,0.32,1,Char,Crystal Castles
0.0516,0.782,3.809,0.572,0.0,0.33,-7.467,0,120.021,0.237,1,Look Alive,Rae Sremmurd
0.282,0.735,3.102,0.4,0.125,0.0811,-12.766,1,129.004,0.326,1,Please Stop Making Fake Versace,Father
0.00791,0.45,3.682,0.449,0.0,0.173,-12.037,1,135.45,0.137,1,Milly Rock,2milly
0.0219,0.897,4.754,0.642,1.31e-06,0.159,-8.828,1,127.984,0.27,1,Blasé (feat. Future & Rae Sremmurd),Ty Dolla $ign
0.0358,0.959,3.55,0.598,0.0,0.358,-5.534,1,127.029,0.424,1,Best Friend,Young Thug
0.0324,0.742,4.681,0.559,0.0,0.0987,-5.876,1,146.923,0.429,1,Hercules,Young Thug
0.118,0.805,3.881,0.687,0.0,0.0842,-7.771,1,119.999,0.683,1,Who Be Lovin Me (feat. ILOVEMAKONNEN),Santigold
0.0428,0.667,3.845,0.581,0.0,0.183,-5.164,0,110.953,0.372,1,Check,Young Thug
0.297,0.722,2.927,0.823,0.0,0.489,-3.916,1,148.23,0.855,1,Poppin' My Collar,Three 6 Mafia
0.0565,0.853,3.431,0.547,0.0,0.341,-7.535,1,142.065,0.677,1,Jumpman,Drake
0.0128,0.747,3.558,0.705,0.0,0.126,-5.137,0,136.024,0.571,1,7/11,Beyoncé
0.135,0.777,3.953,0.591,5.5e-05,0.126,-7.431,0,124.111,0.848,1,Somebody's Watching Me,Rockwell
0.00041,0.731,5.409,0.852,0.625,0.358,-6.08,1,125.008,0.622,1,Bang That,Disclosure
0.00356,0.76,3.102,0.402,0.0,0.333,-8.751,1,147.028,0.069,1,I Don't Sell Molly No More,ILoveMakonnen
0.00156,0.624,3.05,0.792,1.54e-06,0.0772,-5.33,0,139.94,0.318,1,Versace Python,Riff Raff
0.00243,0.621,6.315,0.683,0.00856,0.525,-5.619,0,124.283,0.0891,1,Monster,Kanye West
0.533,0.64,3.909,0.819,0.0,0.156,-4.108,1,166.012,0.624,1,OOOUUU,Young M.A.
0.00631,0.715,3.552,0.833,0.0,0.164,-5.379,1,95.487,0.607,1,Return Of The Mack - C & J Street Mix,Mark Morrison
0.00182,0.7,6.436,0.756,0.711,0.0575,-10.714,1,114.28,0.947,1,Fantastic Man,William Onyeabor
0.0923,0.789,2.921,0.494,0.000408,0.144,-13.702,1,104.593,0.832,1,Right Place Wrong Time,Dr. John
0.375,0.796,4.209,0.86,0.00457,0.0745,-6.202,0,129.008,0.973,1,Azon de ma gnin kpevi,T. P. Orchestre Poly-Rythmo
0.183,0.716,9.615,0.957,0.058,0.182,-4.814,1,106.714,0.93,1,Odofo Nyi Akyiri Biara,Ebo Taylor
0.0185,0.74,4.022,0.846,0.0624,0.254,-6.039,1,95.995,0.852,1,Annie,Neon Indian
0.0638,0.7,3.741,0.84,0.112,0.141,-6.227,0,132.475,0.745,1,The Chase,Future Islands
0.456,0.514,3.594,0.453,0.000181,0.178,-7.062,1,75.548,0.532,1,Coming Home,Leon Bridges
0.128,0.313,4.783,0.77,0.0787,0.0873,-7.265,1,74.749,0.186,1,Wishes,Beach House
0.246,0.676,4.246,0.528,0.0,0.0803,-8.699,1,130.073,0.301,1,White Iverson,Post Malone
0.12,0.532,3.56,0.596,0.0,0.504,-9.912,0,119.296,0.486,1,I Know There's Gonna Be (Good Times),Jamie xx
0.00426,0.646,4.718,0.629,0.277,0.122,-10.775,0,109.013,0.176,1,Loud Places,Jamie xx
0.193,0.598,3.972,0.252,0.138,0.0992,-15.086,1,120.06,0.0359,1,L$D,A$AP Rocky
0.0174,0.754,1.89,0.442,9.4e-05,0.0622,-8.873,0,148.04,0.599,1,Dopeman,Vince Staples
0.000392,0.294,5.189,0.786,0.865,0.272,-3.626,1,81.108,0.136,1,California Nights,Best Coast
0.435,0.622,4.79,0.253,0.471,0.0941,-14.36,1,92.584,0.328,1,Baby,Ariel Pink's Haunted Graffiti
0.257,0.559,3.756,0.656,0.000171,0.2,-8.699,0,79.638,0.671,1,Ain't No Love In The Heart Of The City - Single Version,"Bobby ""Blue"" Bland"
0.000145,0.54,4.894,0.945,0.753,0.667,-6.64,1,92.995,0.87,1,Fail to Cry,Yacht Club
0.273,0.793,3.871,0.7,0.0,0.174,-6.641,0,140.058,0.887,1,Evil Friends (feat. Danny Brown) - Jake One Remix,Portugal. The Man
0.374,0.549,3.729,0.715,3.5e-06,0.17,-11.164,1,82.118,0.785,1,Ikimiz Bir Fidaniz - Baris K Edit,Umit Aksu Orkestrasi
0.00266,0.557,3.107,0.607,0.771,0.33,-10.088,1,73.061,0.259,1,Sentimental Trash,Sweet Valley
0.000546,0.597,4.654,0.444,0.051,0.335,-8.39,0,120.074,0.361,1,Get Away,CHVRCHES
0.00781,0.879,3.563,0.512,1.45e-05,0.134,-7.83,1,127.95,0.277,1,Look At Wrist,Father
0.125,0.726,5.57,0.497,0.89,0.104,-10.742,0,125.004,0.472,1,Our Love,Caribou
0.00158,0.857,2.234,0.831,0.0,0.154,-4.664,1,106.059,0.251,1,I Ain't Trippin off Nothin,Ezale
0.0132,0.807,5.515,0.778,0.666,0.109,-5.485,1,120.001,0.797,1,They Don't Know - Original Mix,Disciples
0.783,0.596,3.277,0.639,0.569,0.331,-6.546,1,124.012,0.197,1,Sabali,Amadou & Mariam
0.518,0.683,2.586,0.708,2.08e-05,0.175,-6.852,0,106.446,0.967,1,Spooky,Dusty Springfield
0.0548,0.768,3.998,0.853,0.13,0.0188,-5.915,0,107.234,0.887,1,Pick Up The Pieces,Average White Band
0.727,0.506,2.673,0.948,0.0,0.0904,-5.626,1,130.195,0.936,1,Have Love Will Travel,The Sonics
0.000313,0.457,4.892,0.918,0.000215,0.769,-5.295,0,105.018,0.297,1,Capitol,TR/ST
0.34,0.468,6.446,0.58,0.821,0.0737,-8.131,1,76.27,0.324,1,Uncast Shadow Of A Southern Myth,Parquet Courts
0.47,0.537,3.874,0.447,1.86e-05,0.0519,-8.261,1,84.362,0.549,1,I Shall Be Released - Remastered,Nina Simone
0.855,0.515,6.304,0.217,0.463,0.598,-13.382,0,80.015,0.194,1,Words I Don't Remember,How To Dress Well
0.00502,0.429,3.282,0.725,1.54e-05,0.266,-6.156,1,82.925,0.174,1,To The Top,Twin Shadow
0.555,0.791,3.12,0.58,0.00155,0.116,-8.377,1,81.678,0.733,1,Them Changes (feat. Flying Lotus & Kamasi Washington),Thundercat
0.186,0.711,3.689,0.705,0.0,0.148,-6.248,0,144.053,0.403,1,Aquafina (feat. GoldLink & Chaz French),Falcons
0.0249,0.683,3.351,0.824,0.627,0.0533,-8.569,0,154.008,0.921,1,Hot Blur,How Sad
0.0108,0.309,4.298,0.325,0.854,0.0742,-16.4,0,175.88,0.46,1,Summer Madness,Kool & The Gang
0.193,0.867,7.673,0.733,0.000219,0.749,-7.54,0,97.835,0.761,1,The Payback,James Brown
0.0192,0.619,4.592,0.734,0.263,0.0771,-9.366,0,106.034,0.853,1,I'm In Love,Fool's Gold
0.00776,0.898,7.165,0.5,0.292,0.0771,-11.089,1,122.281,0.868,1,I Need You Tonight,Punkin Machine
0.17,0.589,3.437,0.745,0.000406,0.376,-8.109,1,99.407,0.76,1,Everybody Likes Something Good,Ify Jerry Crusade
0.0221,0.606,3.916,0.668,1.65e-05,0.0527,-9.168,0,158.859,0.958,1,Dadje Von O Von Non,Gnonnas Pédro
0.0397,0.786,5.047,0.547,0.272,0.0378,-11.416,1,92.603,0.68,1,Sugah Daddy,D'Angelo
0.0213,0.734,5.366,0.548,0.0,0.512,-9.682,1,128.289,0.72,1,International Players Anthem,Swishahouse
0.0454,0.812,4.474,0.676,0.0,0.0929,-4.502,1,114.047,0.399,1,Swerve,ILoveMakonnen
0.00672,0.876,3.554,0.606,1.06e-05,0.14,-5.471,1,127.975,0.249,1,Look At Wrist,Father
0.00488,0.601,7.793,0.873,0.0365,0.113,-5.866,0,124.997,0.566,1,Let It Happen,Tame Impala
0.00419,0.748,3.551,0.741,0.0,0.147,-3.103,1,128.077,0.533,1,My Way (feat. Monty),Fetty Wap
0.17,0.615,3.569,0.814,0.0,0.218,-3.903,0,144.005,0.601,1,Walk,Kwabs
0.0604,0.799,5.559,0.789,0.0,0.0338,-8.208,1,116.081,0.833,1,The Magnificent Seven - Remastered,The Clash
0.0571,0.398,4.123,0.776,0.0172,0.303,-7.388,0,110.815,0.689,1,NOBO,Tijuana Panthers
0.716,0.685,7.12,0.423,0.518,0.0765,-9.031,0,138.034,0.649,1,The Gaudy Side of Town,Gayngs
0.0151,0.706,4.997,0.581,0.0,0.368,-6.492,1,134.009,0.463,1,U Mad,Vic Mensa
0.228,0.63,5.26,0.98,0.00661,0.487,-4.914,1,108.009,0.805,1,Slumlord,Neon Indian
0.017,0.57,3.958,0.736,5.74e-05,0.178,-5.822,1,99.86,0.267,1,Leave A Trace,CHVRCHES
0.247,0.525,4.879,0.643,0.0,0.106,-6.874,0,199.727,0.943,1,Willing & Able,Disclosure
0.123,0.698,3.946,0.793,0.0,0.0805,-5.332,0,129.948,0.46,1,White Girl,Shy Glizzy
0.00705,0.763,3.556,0.773,0.032,0.772,-4.722,1,130.025,0.347,1,Maneuvering,ILoveMakonnen
0.181,0.511,2.682,0.769,0.0,0.0921,-7.032,1,129.657,0.814,1,Be My Baby,The Ronettes
0.378,0.506,2.654,0.813,0.0293,0.276,-5.78,1,108.212,0.855,1,Why Don't They Let Us Fall in Love,The Ronettes
0.677,0.513,2.701,0.494,6.43e-05,0.143,-5.072,1,135.894,0.521,1,Will You Love Me Tomorrow,The Shirelles
0.488,0.251,2.114,0.868,7.34e-06,0.818,-2.685,1,177.125,0.587,1,One Fine Day,The Chiffons
0.487,0.559,1.855,0.633,0.0,0.164,-3.265,1,72.496,0.842,1,He's So Fine - 2000 Digital Remaster,The Chiffons
0.7,0.431,2.645,0.678,6.37e-06,0.199,-7.945,1,135.919,0.632,1,Then He Kissed Me,The Crystals
0.403,0.683,2.372,0.71,0.0,0.086,-7.445,1,128.181,0.93,1,It's My Party,Lesley Gore
0.656,0.78,2.491,0.599,0.0,0.129,-10.251,1,121.198,0.967,1,Please Mr. Postman,The Marvelettes
0.00904,0.614,3.273,0.907,0.000131,0.36,-2.536,0,122.906,0.354,1,Fiesta - Remix,Bomba Estéreo
0.141,0.661,3.277,0.531,0.0,0.136,-10.113,0,93.287,0.657,1,Queen's Speech 4,Lady Leshurr
0.119,0.564,3.56,0.594,0.0,0.536,-9.912,0,89.394,0.489,1,I Know There's Gonna Be (Good Times),Jamie xx
0.0659,0.751,3.376,0.597,0.0,0.0881,-6.59,0,123.997,0.168,1,With That (feat. Duke),Young Thug
0.00257,0.896,4.45,0.623,0.000258,0.039,-8.008,1,134.962,0.564,1,Hotline Bling,Drake
0.00256,0.618,3.278,0.717,0.0,0.625,-5.738,1,190.05,0.601,1,679 (feat. Remy Boyz),Fetty Wap
0.0244,0.746,3.702,0.873,0.0,0.354,-3.803,1,148.075,0.808,1,Trap Queen,Fetty Wap
0.013,0.888,3.335,0.483,4.85e-06,0.0926,-7.797,1,125.008,0.221,1,No Type,Rae Sremmurd
0.0127,0.443,5.312,0.645,0.952,0.122,-6.24,1,128.044,0.138,1,Chasing Heaven,Bassnectar
0.00943,0.507,4.705,0.934,0.0018,0.222,-2.325,0,175.954,0.472,1,Speakerbox (feat. Lafa Taylor),Bassnectar
0.000758,0.695,4.23,0.912,0.000103,0.302,-3.331,0,160.043,0.612,1,Movin' Bass - GTA Remix,Rick Ross
0.674,0.462,3.772,0.449,0.000632,0.0993,-9.271,0,209.686,0.748,1,Danger and Dread,Brown Bird
0.0161,0.526,4.024,0.712,0.0,0.179,-6.525,0,105.009,0.299,1,Midnight City,M83
0.107,0.645,9.862,0.924,0.0266,0.0982,-7.697,0,90.852,0.886,1,Water No Get Enemy - Edit,Fela Kuti
0.0134,0.405,9.882,0.647,7.62e-05,0.819,-6.109,0,131.952,0.204,1,Pyramids,Frank Ocean
0.0219,0.735,4.497,0.641,0.89,0.168,-6.177,0,105.993,0.886,1,Hercules Theme,Hercules & Love Affair
0.0452,0.746,3.969,0.416,7.77e-05,0.12,-6.607,1,132.036,0.216,1,Rewind,Kelela
0.0551,0.547,4.185,0.643,0.0,0.267,-8.904,1,143.064,0.187,1,My Sub (Pt. 2: The Jackin') - Album Version (Edited),Big K.R.I.T.
0.0224,0.634,3.699,0.609,0.0,0.099,-8.982,1,83.021,0.659,1,Kush,Lil Wayne
0.244,0.607,4.23,0.488,0.000177,0.113,-8.704,1,77.021,0.16,1,9,Willow
0.0668,0.704,3.321,0.647,1.93e-06,0.101,-7.874,0,92.002,0.694,1,Magnets,Disclosure
7.19e-05,0.558,4.303,0.642,0.00746,0.201,-5.206,0,99.977,0.492,1,Don't Move,Phantogram
0.0227,0.698,4.134,0.804,0.0599,0.566,-6.616,1,92.001,0.786,1,Pussy,Brazilian Girls
0.103,0.772,3.186,0.582,6.61e-05,0.323,-5.96,0,172.03,0.564,1,Black Mags,The Cool Kids
0.0956,0.788,3.974,0.864,0.0,0.335,-5.767,1,133.295,0.678,1,Stay Fly - Explicit Album Version,Three 6 Mafia
0.00919,0.944,4.366,0.839,0.0,0.0921,-4.141,1,136.019,0.891,1,Sippin On Some Syrup,Three 6 Mafia
0.354,0.729,2.948,0.795,0.0,0.536,-4.579,1,146.747,0.853,1,Poppin' My Collar - feat. Project Pat - Explicit,Three 6 Mafia
0.00469,0.721,3.816,0.621,0.0103,0.199,-4.378,1,159.967,0.578,1,Sittin' Sidewayz - feat. Big Pokey Explicit,Paul Wall
0.00102,0.798,3.793,0.751,3.22e-06,0.0271,-6.335,1,162.003,0.482,1,Gold and a Pager,The Cool Kids
0.0512,0.851,3.744,0.387,0.0,0.0996,-13.584,1,116.629,0.365,1,Smell Yo D*ck,Riskay
0.0252,0.34,2.458,0.805,0.0,0.138,-3.397,1,167.922,0.654,1,Don't Wanna Lose,Ex Hex
0.221,0.767,3.234,0.891,0.0723,0.0935,-6.426,1,122.026,0.779,1,Endless Rhythm,Baio
0.937,0.772,3.668,0.635,0.018,0.0961,-8.412,1,168.039,0.592,1,Demon,Shamir
2.13e-05,0.259,5.849,0.847,0.823,0.133,-6.298,1,150.162,0.682,1,Nothing Ever Happened,Deerhunter
0.284,0.633,3.779,0.77,0.0,0.308,-6.954,0,149.97,0.324,1,Oh My Darling Don't Meow (Just Blaze Remix),Run The Jewels
0.0962,0.654,4.202,0.292,0.0031,0.106,-12.977,1,153.547,0.111,1,River,Ibeyi
0.334,0.726,3.696,0.583,0.00135,0.122,-6.434,0,140.943,0.48,1,The Buzz (feat. Mataya & Young Tapz),Hermitude
0.0648,0.855,5.182,0.638,0.0,0.162,-4.968,0,122.967,0.433,1,All Day,Kanye West
0.185,0.704,4.704,0.431,0.0972,0.249,-7.893,1,146.003,0.349,1,Blood On the Money,Future
0.689,0.658,3.976,0.179,0.0,0.17,-10.866,1,128.128,0.197,1,River,Leon Bridges
0.000472,0.502,4.07,0.833,0.043,0.352,-4.982,1,142.053,0.593,1,Trust Me Danny,ILoveMakonnen
0.00157,0.79,3.628,0.676,0.0,0.25,-6.432,0,132.002,0.314,1,Big Rings,Drake
0.0233,0.738,4.036,0.849,0.0317,0.309,-6.246,1,95.987,0.863,1,Annie,Neon Indian
0.00212,0.777,8.342,0.739,0.868,0.109,-9.089,1,119.992,0.201,1,Acamar,Frankey
0.0734,0.791,3.656,0.779,0.0,0.0832,-5.972,1,110.037,0.581,1,Alright,Kendrick Lamar
0.19,0.735,4.597,0.41,0.0,0.341,-8.735,0,114.812,0.16,1,Know Yourself,Drake
0.188,0.556,4.906,0.582,0.911,0.229,-10.65,0,131.023,0.516,1,Deicide,Crystal Castles
0.461,0.427,3.44,0.465,5.52e-05,0.154,-6.595,1,112.137,0.462,1,Coming Home,Leon Bridges
0.0111,0.563,2.939,0.81,2.71e-05,0.142,-9.158,1,99.996,0.767,1,Hercules Theme 2014,Hercules & Love Affair
0.0496,0.753,4.272,0.708,0.0123,0.0872,-7.217,0,115.004,0.445,1,Forever,Majid Jordan
0.149,0.785,4.383,0.764,0.813,0.201,-5.245,0,93.984,0.961,1,Next to You,Poolside
0.0682,0.557,4.899,0.608,0.0263,0.196,-7.657,0,109.67,0.211,1,Papi Pacify,FKA twigs
0.489,0.594,3.928,0.42,0.00452,0.0833,-8.467,0,140.04,0.311,1,Magnolia,Young & Sick
0.000259,0.644,3.952,0.758,0.0708,0.0726,-7.859,1,108.99,0.752,1,Dark Matter,Feathers
0.217,0.704,3.091,0.657,0.000118,0.0888,-7.172,0,150.058,0.804,1,Callie (feat. Vic Mensa),Donnie Trumpet
0.0472,0.849,3.628,0.408,0.0,0.101,-8.67,0,99.876,0.337,1,Wu-Tang Forever,Drake
0.228,0.628,4.349,0.568,0.0183,0.0906,-10.695,1,191.404,0.618,1,Fame (2007 Remastered),David Bowie
0.00689,0.717,3.749,0.862,0.0,0.321,-4.736,1,130.021,0.512,1,We Dem Boyz,Wiz Khalifa
0.0109,0.584,4.058,0.68,1.03e-06,0.129,-4.685,0,104.89,0.326,1,Ego Free Sex Free,Autre Ne Veut
0.0246,0.586,6.236,0.806,0.000167,0.353,-9.542,1,110.325,0.207,1,Her Fantasy,Matthew Dear
0.00399,0.648,9.343,0.85,0.294,0.35,-6.277,1,112.014,0.559,1,Little People (Black City),Matthew Dear
0.037,0.807,4.169,0.785,0.000763,0.18,-7.928,1,124.051,0.421,1,Confess To Me,Disclosure
0.0789,0.577,5.931,0.941,0.207,0.342,-4.338,1,99.995,0.381,1,Let Me Show You Love,Cut Copy
0.141,0.5,4.268,0.593,6.21e-06,0.0969,-4.34,1,68.456,0.325,1,New Slaves,Kanye West
0.108,0.804,5.603,0.708,0.0636,0.0528,-5.099,0,141.996,0.966,1,Sexy Socialite,Chromeo
0.0108,0.787,4.564,0.658,0.0152,0.13,-5.379,0,110.983,0.867,1,Okay,Holy Ghost!
0.0107,0.246,3.837,0.784,5.71e-06,0.0825,-5.004,1,153.027,0.189,1,Weight,Mikal Cronin
0.0107,0.882,4.734,0.743,0.00152,0.327,-6.972,1,123.97,0.678,1,When A Fire Starts To Burn,Disclosure
0.0315,0.628,5.142,0.824,0.543,0.0999,-7.983,1,122.01,0.86,1,When A Fire Starts To Burn - Midland Remix,Disclosure
0.00807,0.451,2.999,0.79,0.0,0.0394,-4.261,0,127.142,0.674,1,Fake Tales Of San Francisco,Arctic Monkeys
0.64,0.518,6.75,0.385,0.000536,0.0931,-11.125,0,100.878,0.264,1,Billie Holiday,Warpaint
0.0414,0.774,4.498,0.901,4.84e-06,0.873,-5.398,0,128.024,0.768,1,Goody Two Shoes,Duck Sauce
0.0127,0.547,4.088,0.635,5.01e-06,0.0585,-5.569,1,113.678,0.496,1,The Wire,HAIM
0.0585,0.552,4.727,0.878,0.892,0.0746,-5.767,1,176.057,0.603,1,Awake,Tycho
0.00856,0.542,3.614,0.946,5.38e-06,0.386,-6.307,1,108.496,0.389,1,Man I Need,Jagwar Ma
0.019,0.695,4.109,0.94,0.8,0.623,-2.935,1,100.262,0.337,1,N.O. Bounce,Big Freedia
0.0488,0.633,3.745,0.492,0.00047,0.0758,-7.672,1,114.845,0.357,1,Now Is Not The Time,CHVRCHES
0.365,0.312,3.712,0.445,0.0038,0.13,-7.202,0,97.967,0.308,1,No Rest For The Wicked,Lykke Li
0.17,0.43,2.574,0.436,0.0,0.128,-4.816,1,90.053,0.22,1,Holdin On,Flume
0.0346,0.19,3.845,0.908,0.0369,0.241,-4.679,1,148.951,0.181,1,Rocking Chair,The Districts
0.0361,0.312,4.689,0.907,0.618,0.363,-6.571,1,120.286,0.122,1,Marriage,Gold Panda
0.00818,0.539,3.748,0.582,0.0717,0.15,-7.414,1,95.07,0.249,1,Ride On / Right On,Phosphorescent
0.613,0.698,3.837,0.878,1.61e-05,0.518,-0.307,1,182.126,0.816,1,GodLovesUgly,Atmosphere
0.00275,0.476,3.253,0.818,0.757,0.279,-7.933,1,159.089,0.745,1,New York City,Christopher Owens
0.064,0.568,5.376,0.936,0.00099,0.148,-6.365,1,150.067,0.792,1,Moving to the Left,Woods
0.00192,0.558,5.026,0.74,8.97e-06,0.129,-6.22,1,118.293,0.214,1,All These Things That I've Done,The Killers
0.0212,0.604,3.121,0.894,0.0,0.0299,-5.0,1,145.014,0.893,1,Junk of the Heart (Happy),The Kooks
0.0516,0.718,3.738,0.921,0.0473,0.315,-3.978,0,121.922,0.898,1,When The Night Falls - feat. Solange Knowles,Chromeo
0.0855,0.737,5.541,0.545,9.32e-05,0.153,-8.536,0,140.086,0.438,1,Mercy,Kanye West
0.0293,0.769,3.572,0.712,2.12e-06,0.103,-4.692,0,120.975,0.948,1,Don't You Evah,Spoon
0.00731,0.567,5.73,0.506,0.205,0.103,-8.742,1,116.392,0.354,1,We Exist,Arcade Fire
0.000467,0.817,3.551,0.588,1.51e-06,0.0911,-6.603,1,119.934,0.448,1,Le Goudron (Edit),YACHT
0.0411,0.767,2.987,0.912,0.402,0.0288,-1.157,1,144.084,0.496,1,Double Bubble Trouble,M.I.A.
0.000195,0.77,6.528,0.895,0.897,0.0455,-8.102,0,120.986,0.678,1,Careless,Dusky
0.827,0.712,4.663,0.77,0.548,0.0726,-13.187,0,106.963,0.973,1,Look at You,George McCrae
0.39,0.706,2.188,0.577,0.692,0.407,-6.226,0,96.056,0.385,1,How Did I Get Here,ODESZA
0.00471,0.542,3.786,0.799,0.0161,0.0814,-3.641,0,92.215,0.426,1,Black Out Days,Phantogram
0.827,0.583,4.137,0.776,3.81e-05,0.298,-5.293,1,126.536,0.782,1,Bang! Bang!,Joe Cuba
0.0628,0.727,4.821,0.548,0.526,0.133,-7.393,1,107.826,0.93,1,Every 1's A Winner - Single Version,Hot Chocolate
0.00919,0.45,3.36,0.782,0.101,0.123,-6.769,1,173.954,0.209,1,Unbound,Cathedrals
0.0027,0.602,3.592,0.764,0.0053,0.0822,-4.897,0,105.997,0.468,1,Operate,ASTR
0.385,0.415,5.997,0.681,0.0,0.101,-4.104,0,171.893,0.372,1,Blood On The Leaves,Kanye West
0.0304,0.614,5.25,0.838,0.000297,0.166,-6.896,1,127.971,0.584,1,Come Save Me,Jagwar Ma
0.105,0.901,3.545,0.744,7.79e-06,0.0964,-3.484,1,135.95,0.606,1,Hannah Montana,Migos
0.359,0.7,3.646,0.986,0.0221,0.963,-4.403,1,123.033,0.64,1,High School Lover,Cayucas
0.119,0.583,3.379,0.843,0.0,0.602,-7.416,0,108.066,0.422,1,They Come in Gold,Shabazz Palaces
0.0112,0.6,3.583,0.586,0.535,0.115,-9.414,1,129.952,0.193,1,Tides of Neptune,Virgo
0.251,0.786,4.252,0.706,0.213,0.142,-6.212,0,120.011,0.318,1,Cocaine Model,ZHU
0.0696,0.512,4.786,0.821,0.33,0.0998,-7.442,0,149.988,0.396,1,Light House,Future Islands
0.403,0.791,3.333,0.664,0.0,0.61,-5.713,1,149.939,0.96,1,Pass The Dutchie,Musical Youth
0.849,0.533,6.304,0.213,0.565,0.449,-13.437,0,80.004,0.196,1,Words I Don't Remember,How To Dress Well
0.0862,0.731,2.983,0.75,0.000388,0.202,-10.457,1,135.406,0.648,1,I Would Die 4 U,Prince
0.000156,0.853,5.943,0.532,0.88,0.0643,-13.443,1,99.989,0.499,1,Bless My Soul,Nightmares On Wax
0.0398,0.674,5.219,0.501,0.000123,0.0818,-12.907,0,107.363,0.567,1,Heaven And Hell Is On Earth,20th Century Steel Band
0.0448,0.788,4.063,0.617,0.0,0.088,-4.516,1,122.065,0.13,1,Upper Echelon,Travis Scott
0.000686,0.745,6.415,0.857,0.2,0.022,-5.754,1,115.945,0.946,1,Flying High (Part 1),Cloud One
0.0107,0.621,4.013,0.796,0.187,0.0719,-6.179,0,140.012,0.288,1,Go,Grimes
0.377,0.818,4.034,0.528,0.0,0.131,-10.666,0,120.368,0.895,1,Spill The Wine,Eric Burdon
0.0988,0.856,4.13,0.874,0.000472,0.339,-8.037,0,122.416,0.91,1,Got To Give It Up (Part 1),Marvin Gaye
0.0913,0.614,4.772,0.857,0.0,0.069,-8.85,0,85.125,0.944,1,Never Gonna Give You Up,Barry White
0.0778,0.729,4.827,0.527,0.0,0.382,-6.338,1,126.012,0.23,1,Sanctified,Rick Ross
0.0608,0.42,2.531,0.776,0.0107,0.248,-8.827,1,114.217,0.416,1,It #1,Ty Segall
